cbgs_id,week,count
530019501002 ,2019/4/29,8
530019503001 ,2019/4/29,8
530019503002 ,2019/4/29,14
530019503003 ,2019/4/29,22
530019503004 ,2019/4/29,8
530019503005 ,2019/4/29,12
530019504001 ,2019/4/29,20
530019504002 ,2019/4/29,17
530019505001 ,2019/4/29,47
530019505002 ,2019/4/29,50
530039601001 ,2019/4/29,4
530039601002 ,2019/4/29,16
530039601003 ,2019/4/29,22
530039602001 ,2019/4/29,12
530039602002 ,2019/4/29,20
530039602003 ,2019/4/29,8
530039602004 ,2019/4/29,32
530039603001 ,2019/4/29,16
530039603002 ,2019/4/29,8
530039603003 ,2019/4/29,4
530039603004 ,2019/4/29,4
530039604002 ,2019/4/29,12
530039605001 ,2019/4/29,8
530039605002 ,2019/4/29,23
530039605003 ,2019/4/29,4
530039605004 ,2019/4/29,18
530039606001 ,2019/4/29,13
530039606002 ,2019/4/29,27
530039606003 ,2019/4/29,9
530039606004 ,2019/4/29,11
530050101001 ,2019/4/29,38
530050101002 ,2019/4/29,28
530050102011 ,2019/4/29,41
530050102012 ,2019/4/29,16
530050102013 ,2019/4/29,34
530050102021 ,2019/4/29,8
530050102022 ,2019/4/29,46
530050102024 ,2019/4/29,24
530050102025 ,2019/4/29,50
530050103001 ,2019/4/29,45
530050103002 ,2019/4/29,20
530050103003 ,2019/4/29,16
530050103004 ,2019/4/29,18
530050104001 ,2019/4/29,18
530050104002 ,2019/4/29,16
530050104003 ,2019/4/29,12
530050105001 ,2019/4/29,24
530050105003 ,2019/4/29,45
530050106001 ,2019/4/29,42
530050106002 ,2019/4/29,16
530050106003 ,2019/4/29,10
530050106004 ,2019/4/29,8
530050106005 ,2019/4/29,4
530050107011 ,2019/4/29,8
530050107012 ,2019/4/29,8
530050107031 ,2019/4/29,16
530050107032 ,2019/4/29,20
530050107033 ,2019/4/29,24
530050107051 ,2019/4/29,27
530050107052 ,2019/4/29,20
530050107053 ,2019/4/29,40
530050107054 ,2019/4/29,38
530050107071 ,2019/4/29,47
530050107072 ,2019/4/29,4
530050107073 ,2019/4/29,4
530050107081 ,2019/4/29,4
530050107082 ,2019/4/29,32
530050107083 ,2019/4/29,28
530050107084 ,2019/4/29,4
530050108031 ,2019/4/29,63
530050108032 ,2019/4/29,12
530050108033 ,2019/4/29,72
530050108034 ,2019/4/29,58
530050108051 ,2019/4/29,51
530050108052 ,2019/4/29,56
530050108053 ,2019/4/29,23
530050108054 ,2019/4/29,57
530050108071 ,2019/4/29,28
530050108091 ,2019/4/29,34
530050108092 ,2019/4/29,26
530050108093 ,2019/4/29,30
530050108101 ,2019/4/29,29
530050108102 ,2019/4/29,44
530050108103 ,2019/4/29,17
530050108111 ,2019/4/29,64
530050108112 ,2019/4/29,16
530050108131 ,2019/4/29,16
530050108132 ,2019/4/29,45
530050108133 ,2019/4/29,41
530050108134 ,2019/4/29,32
530050108135 ,2019/4/29,68
530050108141 ,2019/4/29,4
530050108142 ,2019/4/29,93
530050109012 ,2019/4/29,19
530050109013 ,2019/4/29,8
530050109014 ,2019/4/29,20
530050109015 ,2019/4/29,8
530050109016 ,2019/4/29,12
530050109021 ,2019/4/29,15
530050109022 ,2019/4/29,24
530050109023 ,2019/4/29,15
530050110012 ,2019/4/29,8
530050110013 ,2019/4/29,29
530050110014 ,2019/4/29,12
530050110015 ,2019/4/29,6
530050110016 ,2019/4/29,12
530050110021 ,2019/4/29,16
530050110022 ,2019/4/29,47
530050110023 ,2019/4/29,12
530050110024 ,2019/4/29,4
530050111001 ,2019/4/29,16
530050111002 ,2019/4/29,14
530050111003 ,2019/4/29,12
530050111004 ,2019/4/29,8
530050111005 ,2019/4/29,22
530050111006 ,2019/4/29,39
530050112001 ,2019/4/29,8
530050112002 ,2019/4/29,4
530050112003 ,2019/4/29,8
530050112004 ,2019/4/29,8
530050112005 ,2019/4/29,20
530050112006 ,2019/4/29,8
530050113001 ,2019/4/29,13
530050113002 ,2019/4/29,12
530050113003 ,2019/4/29,29
530050113004 ,2019/4/29,10
530050114011 ,2019/4/29,35
530050114012 ,2019/4/29,25
530050114013 ,2019/4/29,21
530050114021 ,2019/4/29,9
530050114022 ,2019/4/29,4
530050114023 ,2019/4/29,4
530050114024 ,2019/4/29,33
530050114025 ,2019/4/29,26
530050115011 ,2019/4/29,16
530050115012 ,2019/4/29,21
530050115013 ,2019/4/29,12
530050115014 ,2019/4/29,28
530050115015 ,2019/4/29,9
530050115031 ,2019/4/29,34
530050115032 ,2019/4/29,34
530050115033 ,2019/4/29,16
530050115034 ,2019/4/29,13
530050115035 ,2019/4/29,12
530050115036 ,2019/4/29,20
530050115041 ,2019/4/29,16
530050115042 ,2019/4/29,37
530050116001 ,2019/4/29,4
530050117001 ,2019/4/29,29
530050117002 ,2019/4/29,9
530050117003 ,2019/4/29,8
530050117004 ,2019/4/29,35
530050117005 ,2019/4/29,16
530050118001 ,2019/4/29,8
530050118002 ,2019/4/29,21
530050118003 ,2019/4/29,46
530050118004 ,2019/4/29,35
530050119001 ,2019/4/29,19
530050119002 ,2019/4/29,25
530050119003 ,2019/4/29,8
530050119004 ,2019/4/29,10
530079601001 ,2019/4/29,12
530079601002 ,2019/4/29,6
530079602001 ,2019/4/29,4
530079602002 ,2019/4/29,10
530079602003 ,2019/4/29,9
530079602004 ,2019/4/29,32
530079603001 ,2019/4/29,8
530079603003 ,2019/4/29,43
530079603004 ,2019/4/29,8
530079603005 ,2019/4/29,16
530079603006 ,2019/4/29,16
530079603007 ,2019/4/29,4
530079604001 ,2019/4/29,4
530079604002 ,2019/4/29,8
530079604003 ,2019/4/29,12
530079605001 ,2019/4/29,12
530079605003 ,2019/4/29,21
530079605004 ,2019/4/29,11
530079605005 ,2019/4/29,12
530079605006 ,2019/4/29,32
530079606001 ,2019/4/29,24
530079606002 ,2019/4/29,37
530079606003 ,2019/4/29,39
530079607001 ,2019/4/29,99
530079607002 ,2019/4/29,24
530079608011 ,2019/4/29,29
530079608021 ,2019/4/29,29
530079608022 ,2019/4/29,4
530079608023 ,2019/4/29,38
530079608024 ,2019/4/29,32
530079608025 ,2019/4/29,4
530079610001 ,2019/4/29,20
530079610002 ,2019/4/29,12
530079610003 ,2019/4/29,8
530079610004 ,2019/4/29,12
530079610005 ,2019/4/29,22
530079610006 ,2019/4/29,8
530079610007 ,2019/4/29,23
530079611001 ,2019/4/29,28
530079611002 ,2019/4/29,32
530079611003 ,2019/4/29,34
530079611004 ,2019/4/29,41
530079611005 ,2019/4/29,30
530079611006 ,2019/4/29,4
530079612001 ,2019/4/29,27
530079612002 ,2019/4/29,26
530079613011 ,2019/4/29,12
530079613021 ,2019/4/29,43
530079613022 ,2019/4/29,27
530079613023 ,2019/4/29,37
530079613024 ,2019/4/29,56
530079613025 ,2019/4/29,36
530079613026 ,2019/4/29,12
530090002002 ,2019/4/29,4
530090003001 ,2019/4/29,4
530090003002 ,2019/4/29,16
530090003003 ,2019/4/29,4
530090004001 ,2019/4/29,8
530090006001 ,2019/4/29,4
530090006003 ,2019/4/29,13
530090007001 ,2019/4/29,8
530090007002 ,2019/4/29,25
530090008001 ,2019/4/29,4
530090008002 ,2019/4/29,12
530090008003 ,2019/4/29,22
530090009002 ,2019/4/29,9
530090009003 ,2019/4/29,4
530090010001 ,2019/4/29,12
530090010002 ,2019/4/29,8
530090011001 ,2019/4/29,18
530090011003 ,2019/4/29,12
530090012001 ,2019/4/29,12
530090012002 ,2019/4/29,8
530090012003 ,2019/4/29,12
530090013001 ,2019/4/29,4
530090013002 ,2019/4/29,9
530090013003 ,2019/4/29,8
530090014001 ,2019/4/29,12
530090014002 ,2019/4/29,12
530090014003 ,2019/4/29,13
530090015001 ,2019/4/29,8
530090015002 ,2019/4/29,8
530090016001 ,2019/4/29,10
530090016002 ,2019/4/29,13
530090017001 ,2019/4/29,16
530090017002 ,2019/4/29,21
530090019001 ,2019/4/29,4
530090020001 ,2019/4/29,4
530090020002 ,2019/4/29,12
530090021001 ,2019/4/29,8
530090021002 ,2019/4/29,12
530090023001 ,2019/4/29,9
530090023002 ,2019/4/29,4
530090023003 ,2019/4/29,4
530099400001 ,2019/4/29,4
530099901000 ,2019/4/29,4
530110401011 ,2019/4/29,12
530110401012 ,2019/4/29,5
530110401013 ,2019/4/29,16
530110401021 ,2019/4/29,4
530110401022 ,2019/4/29,20
530110402011 ,2019/4/29,7
530110402012 ,2019/4/29,12
530110402013 ,2019/4/29,11
530110402014 ,2019/4/29,21
530110402021 ,2019/4/29,28
530110402022 ,2019/4/29,15
530110402031 ,2019/4/29,38
530110402032 ,2019/4/29,20
530110402033 ,2019/4/29,49
530110403011 ,2019/4/29,8
530110403012 ,2019/4/29,24
530110403021 ,2019/4/29,46
530110403022 ,2019/4/29,120
530110403023 ,2019/4/29,17
530110404031 ,2019/4/29,41
530110404032 ,2019/4/29,12
530110404071 ,2019/4/29,33
530110404072 ,2019/4/29,34
530110404073 ,2019/4/29,71
530110404081 ,2019/4/29,28
530110404091 ,2019/4/29,4
530110404092 ,2019/4/29,12
530110404111 ,2019/4/29,16
530110404112 ,2019/4/29,12
530110404121 ,2019/4/29,45
530110404122 ,2019/4/29,21
530110404131 ,2019/4/29,44
530110404132 ,2019/4/29,30
530110404141 ,2019/4/29,12
530110404142 ,2019/4/29,104
530110404143 ,2019/4/29,46
530110404151 ,2019/4/29,52
530110404152 ,2019/4/29,41
530110404161 ,2019/4/29,8
530110404162 ,2019/4/29,25
530110404163 ,2019/4/29,7
530110405041 ,2019/4/29,28
530110405042 ,2019/4/29,16
530110405043 ,2019/4/29,12
530110405051 ,2019/4/29,17
530110405052 ,2019/4/29,28
530110405053 ,2019/4/29,21
530110405071 ,2019/4/29,23
530110405072 ,2019/4/29,39
530110405081 ,2019/4/29,31
530110405082 ,2019/4/29,38
530110405083 ,2019/4/29,53
530110405091 ,2019/4/29,62
530110405092 ,2019/4/29,14
530110405101 ,2019/4/29,24
530110405102 ,2019/4/29,39
530110405103 ,2019/4/29,54
530110405111 ,2019/4/29,16
530110405112 ,2019/4/29,30
530110406031 ,2019/4/29,4
530110406032 ,2019/4/29,26
530110406033 ,2019/4/29,20
530110406034 ,2019/4/29,39
530110406041 ,2019/4/29,57
530110406042 ,2019/4/29,54
530110406043 ,2019/4/29,7
530110406051 ,2019/4/29,23
530110406052 ,2019/4/29,12
530110406053 ,2019/4/29,54
530110406081 ,2019/4/29,20
530110406082 ,2019/4/29,92
530110406091 ,2019/4/29,45
530110406092 ,2019/4/29,68
530110406101 ,2019/4/29,37
530110406102 ,2019/4/29,27
530110407031 ,2019/4/29,24
530110407032 ,2019/4/29,32
530110407033 ,2019/4/29,12
530110407034 ,2019/4/29,16
530110407061 ,2019/4/29,38
530110407062 ,2019/4/29,22
530110407071 ,2019/4/29,8
530110407072 ,2019/4/29,8
530110407073 ,2019/4/29,20
530110407091 ,2019/4/29,76
530110407101 ,2019/4/29,14
530110407102 ,2019/4/29,16
530110407103 ,2019/4/29,145
530110407111 ,2019/4/29,17
530110407112 ,2019/4/29,26
530110407121 ,2019/4/29,29
530110407122 ,2019/4/29,4
530110407123 ,2019/4/29,20
530110407124 ,2019/4/29,43
530110408031 ,2019/4/29,24
530110408032 ,2019/4/29,12
530110408033 ,2019/4/29,10
530110408034 ,2019/4/29,4
530110408051 ,2019/4/29,16
530110408052 ,2019/4/29,33
530110408053 ,2019/4/29,36
530110408054 ,2019/4/29,53
530110408061 ,2019/4/29,32
530110408062 ,2019/4/29,28
530110408063 ,2019/4/29,20
530110408081 ,2019/4/29,23
530110408091 ,2019/4/29,23
530110408092 ,2019/4/29,61
530110408093 ,2019/4/29,14
530110408094 ,2019/4/29,50
530110408101 ,2019/4/29,42
530110408102 ,2019/4/29,12
530110409041 ,2019/4/29,4
530110409042 ,2019/4/29,12
530110409043 ,2019/4/29,59
530110409044 ,2019/4/29,24
530110409051 ,2019/4/29,46
530110409052 ,2019/4/29,25
530110409071 ,2019/4/29,33
530110409072 ,2019/4/29,48
530110409081 ,2019/4/29,18
530110409082 ,2019/4/29,52
530110409083 ,2019/4/29,46
530110409084 ,2019/4/29,33
530110409091 ,2019/4/29,41
530110409092 ,2019/4/29,63
530110409093 ,2019/4/29,7
530110409101 ,2019/4/29,33
530110409102 ,2019/4/29,70
530110410031 ,2019/4/29,4
530110410032 ,2019/4/29,31
530110410033 ,2019/4/29,12
530110410034 ,2019/4/29,12
530110410051 ,2019/4/29,34
530110410052 ,2019/4/29,7
530110410071 ,2019/4/29,16
530110410072 ,2019/4/29,38
530110410073 ,2019/4/29,16
530110410081 ,2019/4/29,16
530110410082 ,2019/4/29,31
530110410083 ,2019/4/29,28
530110410091 ,2019/4/29,34
530110410092 ,2019/4/29,16
530110410093 ,2019/4/29,16
